gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.0,32,16,0,1088,128,82.91162460799933,512,587096,65536,65421,790.4319847771633,2371.982244000719,21.62605400008033,5177.353354212848,5172.507801999927
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.1111,32,16,121,967,128,80.71296193099988,512,586351,65536,65404,811.9637593776523,2259.8935850001,21.529891499994847,5040.271761685584,5026.169053000558
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.2222,32,16,242,846,128,76.1147027449988,512,587086,65536,65532,861.0163035065668,1972.7060715003972,21.309525500328164,4753.062628878862,4714.32733399979
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.3333,32,16,363,725,128,72.591845293,512,587318,65536,65397,902.8011305605921,1371.4017415004491,21.246679500109167,4529.782861529288,4477.626738499566
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.4444,32,16,484,604,128,68.0822106100004,512,585428,65536,65529,962.6009410213481,1149.8923560002368,21.06503600043652,4249.468981296801,4172.209488500812
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.5556,32,16,604,484,128,63.95832406500085,512,587989,65536,65528,1024.667249463819,655.3741839998111,20.976611000151024,3988.4564754551234,3875.2900800000134
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.6667,32,16,725,363,128,59.39754503599943,512,588196,65536,65277,1103.3452638535853,286.9408619999376,20.751549998749397,3702.447676205068,3546.8524690004415
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.7778,32,16,846,242,128,55.69529681700078,512,586435,65536,65470,1176.688225853846,162.5468500005809,20.729434499116905,3465.905146820319,3338.0538435003473
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,0.8889,32,16,967,121,128,52.147753934999855,512,586777,65536,65528,1256.7367730101678,109.25590399983776,20.654717500292463,3240.1561147929847,3088.7781909996193
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_length_ratio,1.0,32,16,1088,0,128,49.10895816899938,512,586624,65536,65504,1334.5019410607329,96.72135950040683,20.527710001260857,3053.6477570352963,2900.219909500265
gpu_type,model_name,is_prefix_cached,sweep_type,sweep_value,num_groups,prompts_per_group,system_prompt_len,question_len,output_len,duration,completed,total_input_tokens,total_output_tokens,total_output_tokens_retokenized,output_throughput,median_ttft_ms,median_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.002,512,1,1024,64,128,81.41824171400003,512,586620,65536,65532,804.9301805142146,2299.18256900055,21.591787999568623,5084.409206500009,5068.263171999206
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0039,256,2,1024,64,128,65.86574401699909,512,587016,65536,65533,994.9936947965853,601.0998760002622,21.516553999390453,4102.69844506644,4032.2193149995655
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0078,128,4,1024,64,128,58.11730325500139,512,586887,65536,65402,1127.650395484587,146.09524049956235,21.36163800059876,3617.801808033178,3425.9499955005595
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0156,64,8,1024,64,128,52.83154273099899,512,586610,65536,65532,1240.4710635403544,132.46535700000095,20.977059000870213,3285.186554669945,3035.9649540005194
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0312,32,16,1024,64,128,50.30061288300021,512,587878,65536,65532,1302.8867094012844,88.61778099890216,20.526615999187925,3129.808982546866,2979.799207499127
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.0625,16,32,1024,64,128,47.928222611999445,512,585430,65536,65527,1367.3780588640527,88.5729285000707,19.939451000027475,2980.9655818066717,2892.7833324996755
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.125,8,64,1024,64,128,46.636938627001655,512,588969,65536,65473,1405.2380351152863,88.36064450042613,19.58978900074726,2895.10316261914,2831.073451499833
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.25,4,128,1024,64,128,45.946754508000595,512,587378,65536,65402,1426.346663692827,87.05292550075683,19.43669200045406,2858.116938259723,2810.5006080004387
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,0.5,2,256,1024,64,128,45.112809080999796,512,591842,65536,65399,1452.7137931564066,86.07765300075698,19.27953500126023,2805.332437886701,2796.3090085004296
L4,Qwen/Qwen2.5-1.5B-Instruct,True,prefix_reuse_rate,1.0,1,512,1024,64,128,45.432010619999346,512,588547,65536,65531,1442.5071465173237,84.70673900046677,19.270172000688035,2822.8471166972254,2805.198443500558
